1							
斯大林	7-80600-850-0	编著刘乐华等	A74				
周一良自选集	978-7-81119-425-8	周一良著	C52				
费孝通自选集	978-7-81119-424-1	费孝通著	C52				
季羡林对话集	978-7-80208-980-8	季羡林著;文明国编	C52				
任继愈对话集	978-7-80208-981-5	任继愈著;文明国编	C52				
人生的艺术	978-7-5613-3827-8	梁漱溟著	C52				
禁忌的功能	978-7-300-10005-0	"(英)H.霭理士著;刘宏威,虞_译"	C52				
文化卮言	978-7-300-07759-8	金克木著;周锡山编	C52				
王__全集	978-7-5338-8051-4	"___,房鑫亮主_"	C52				
学鉴	978-7-307-05308-3	程水金主编	C53				
学鉴	978-7-307-06137-8	吴根友主编	C53				
合掌录	978-7-80195-985-0	"阎崇年,星云大师著"	C53				
武汉大学中文学科九十年论文集粹	978-7-307-06561-1	武汉大学文学院	C53				
左岸的巴黎	978-7-309-06644-9	余中先著	C53				
旁观集	978-7-309-06743-9	何怀宏著	C53				
看澜集	978-7-309-06622-7	葛兆光著	C53				
纸上苍凉	978-7-309-06620-3	李辉著	C53				
另一种理想主义	978-7-309-06741-5	许纪霖著	C53				
费孝通学术论坛讲谈录	978-7-81118-619-2	上海大学社会学系编	C53				
中国问题	978-7-208-09151-1	北京大学国家发展研究院编	C53				
反思的年代	978-7-309-07410-9	萧功秦著	C53				
与时代同行	978-7-309-07099-6	徐友渔著	C53				
思想与文化	978-7-5617-7357-4	杨国荣主编	C53				
大方无隅	978-7-5432-1764-5	"王方华,徐飞主编"	C53				
国家社会科学基金《成果要报》汇编	978-7-5097-1482-9	全国哲学社会科学规划办公室编	C55				
汉语社科术语记略	978-7-5097-1184-2	龚益著	C61				
政治算术	978-7-5004-8552-0	(英)威廉·配第著;马妍译	C81				
统计学	978-7-5096-0845-6	"高和鸿,郭茜,孟浩主编"	C81				
统计学	978-7-81138-622-6	主编贲雪峰	C81				
统计学	978-7-81113-634-0	"主编罗良清,朱海玲"	C81				
统计与金融	978-7-300-11547-4	"戴维·鲁珀特著;孙志宾,张键红译"	C81				
复杂调查设计与分析的实用方法	978-7-5624-4290-5	"里斯托·雷同能,厄尔基·帕金能著;王天夫"	C81				
定性数据统计分析	978-7-5037-5496-8	"王静龙,梁小筠编著"	C81				
AMOS与研究方法	978-7-5624-4806-8	荣泰生著	C81				
问卷统计分析实务	978-7-5624-5088-7	吴明隆著	C81				
统计数据分析基础教程	978-7-300-11608-2	叶向编著	C81				
应用STATA做统计分析	978-7-5624-4483-1	劳伦斯·汉密尔顿著;郭志刚等译	C81				
量化研究与统计分析	978-7-5624-4821-1	邱皓政著	C81				
SPSS统计分析标准教程	978-7-115-22281-7	"贾丽艳,杜强编著"	C81				
统计模拟及其R实现	978-7-307-07657-0	"肖枝洪,朱强编著"	C83				
社会学引论	978-7-5004-8508-7	"赵连文,张玉玲编著"	C91				
社会学精要	978-7-81115-738-3	李银河著	C91				
社会统计学	978-7-5624-5253-9	(美)布莱洛克著;沈崇麟[等]译	C91				
社会研究方法	978-7-5624-4456-5	仇立平著	C91				
身份心理学	978-7-5609-5826-2	亚瑟编著	C91				
社交心理操控术	978-7-5064-5983-9	文成蹊编著	C91				
和谐心理学发微	978-7-5004-7876-8	王轶楠著	C91				
小人经	978-7-5461-0998-5	原典(五代)长乐老;马树全译注	C91				
人性的弱点	978-7-81120-635-7	(美)戴尔·卡内基著;胡志刚译	C91				
人性的弱点全集	978-7-80179-884-8	(美)戴尔·卡耐基著;陈昊译	C91				
人脉决定命脉	978-7-5113-0224-3	"成杰,王晓升著"	C91				
交流学讲章	978-7-300-11436-1	吴建民著	C91				
虚拟社会人的发展研究	978-7-01-008565-4	曾令辉著	C91				
人脉力	978-7-5430-4509-5	(日)冈岛悦子著;薛天依译	C91				
处世要学心理学	978-7-80753-497-6	于童蒙编著	C91				
倾听的艺术	978-7-309-07260-0	"(美)安德鲁·D·沃尔文,卡罗琳·格温·科"	C91				
草芥	978-7-5426-3220-3	闫加伟著	C91				
公共关系学通用教程	978-7-5640-2533-5	"黄禧祯,刘树谦主编"	C91				
公共关系学	978-7-307-06985-5	"主编李秀忠,刘桂莉"	C91				
社会心理学理论新编	978-7-201-06124-5	乐国安主编	C91				
社会适应心理学	978-7-80745-689-6	杨彦平著	C91				
房龙地理	978-7-5640-2193-1	"(美)房龙著;马晗,治梅译"	C91				
爱情、婚姻、家庭心理案例集	978-7-5444-2255-0	徐光兴主编	C91				
性别来了	978-7-201-05937-2	王向贤著	C91				
性别的故事	978-7-80724-802-6	《身边的科学·人体的奥秘》编委会编著	C91				
职业发展实验教程	978-7-5628-2667-5	本书主编张培德	C91				
职业生涯的设计和管理	978-7-100-05246-7	"(美)哈里·莱文森编著;李特朗,侯剑译"	C91				
