1							
斯大林	7-80600-850-0	编著刘乐华等	A74				
翻译伦理	978-7-313-06011-2	张景华著	H05				
语言与翻译	978-7-307-07616-7	"李明,卢红梅著"	H05				
《辞书研究》三十年论文精选	978-7-5326-2723-3	中国辞书学会编	H06				
二语听力中的学习者因素研究	978-7-313-06342-7	梁文霞著	H09				
大学语文	978-7-5640-3053-7	"主编杨安邦,杨萌"	H11				
汉语的性别歧视与性别差异	978-7-5609-5959-7	孙汝建著	H11				
当代大学语文	978-7-5617-7138-9	"林红,张宁主编"	H11				
每天学点幽默口才	978-7-5064-6431-4	项星编著	H10				
汉语音韵学新观	978-7-5605-3478-7	秦之勇著	H11				
文字学术语规范研究	978-7-81110-393-9	沙宗元著	H12				
图说汉字	978-7-80762-909-2	唐汉著	H12				
王筠汉字学思想述论	978-7-313-05693-1	张玉梅著	H12				
中国文字学概要	978-7-5438-6163-3	杨树达著	H12				
__俗字研究	978-7-100-06620-4	_涌泉著	H12				
全解汉字	978-7-80228-580-4	丁义诚[等]主编	H12				
五笔字型汉字拆分与编码速查字典	978-7-302-12281-4	刘红编	H12				
训诂学读本	978-7-313-06223-9	许威汉编著	H13				
冒犯称谓语研究	978-7-313-05904-8	胡剑波著	H13				
汉语方位词及其概念隐喻系统	978-7-5004-8594-0	蔡永强著	H14				
动词短语结构研究	978-7-313-06051-8	王奇著	H14				
现代汉语粘合式结构范畴化研究	978-7-81110-555-1	仝国斌著	H14				
现代汉语语法研究	978-7-313-06439-4	王珏编著	H14				
中国修辞学	978-7-5438-6212-8	杨树达著	H15				
如何撰写和发表SCI期刊论文	978-7-03-021574-1	(美)金坤林著	H15				
公文写作与范例大全	978-7-5051-1624-5	"黄春霞,齐绍平编"	H15				
应用文写作基础	978-7-80243-363-2	主编韦必泉等	H15				
新编应用文写作范文大全	978-7-5090-0612-2	李广明主编	H15				
现代应用写作新编	978-7-5438-6156-5	"主编丁仕原,罗靖,王达"	H15				
经济写作	978-7-5642-0618-5	俞纪东主编	H15				
音乐学论文写作教程	978-7-80735-685-1	杜亚雄著	H15				
新编现代应用文写作大全	978-7-5403-1348-7	"主编付晓静,王希文"	H15				
模式写作	978-7-5444-2338-0	"喻大翔,黄昌勇主编"	H15				
中国译学史	978-7-208-08715-6	陈福康著	H15				
汉字图解字典	978-7-80186-870-1	顾建平著	H16				
__大_典	978-7-5326-2408-9	"主编罗竹风;汉语大词典编辑委员会,汉语大"	H16				
辞书编纂与语言生活	978-7-81110-365-6	"中国辞书学会语文词典专业委员会,安徽大学"	H16				
增广贤文全书	978-7-5107-0065-1	原著佚名;编著司马哲	H19				
古文观止	978-7-5470-0198-1	"吴楚材,吴调侯编选;顾长安整理"	H19				
外国语言与文化研究	978-7-5618-3422-0	顾钢主编	H39				
服饰专业英语	978-7-5650-0014-0	"张蕾,史海亮著"	H31				
商务英语谈判	978-7-5640-2180-1	"主编耿民,孟广芬"	H31				
英语文化与交际	978-7-313-05863-8	"马玉蕾,苗瑞琴主编"	H31				
电子技术专业英语	978-7-5640-3155-8	主编何茗	H31				
面试英文有救啦	978-7-5605-3484-8	世纪友好语言研究小组编	H31				
经贸英语教程	978-7-5624-4859-4	主编于秋	H31				
体育英语	978-7-313-05787-7	主编孟莲芬	H31				
法律英语教程	978-7-5624-4835-8	"主编肖云枢,张剑波;王建主编[等]编"	H31				
物流管理英语教程	978-7-5605-3509-8	主编张初愚	H31				
电子商务英语教程	978-7-5605-3295-0	主编唐启明	H31				
会计英语	978-7-5642-0622-2	"叶建芳,孙红星编著"	H31				
会展英语	978-7-307-06813-1	主编冯玮	H31				
跨国企业管理教程	978-7-5628-2595-1	秦一琼主编	H31				
跨文化商务沟通	978-7-5628-2466-4	郁文蕾主编	H31				
英文合同阅读与翻译	978-7-118-06887-0	"刘川,王菲编著"	H31				
最新710分大学英语四级指南	978-7-5640-2967-8	"主编吕景霞,王新"	H31				
高等学校英语应用能力应试备考教程	978-7-5640-2177-1	"主编唐冰然,杨国"	H31				
八级词汇	978-7-313-05785-3	本册主编陈书鹏	H31				
美语词汇与美利坚文化研究	978-7-5601-5252-3	"袁晓红,戴卫平著"	H31				
读时尚美文巧记六级词汇	978-7-5628-2659-0	主编王彦波	H31				
读时尚美文巧记四级词汇	978-7-5628-2722-1	主编王彦波	H31				
英语常用同义、近义词辨析	978-7-5628-2496-1	主编吴瑾瑾	H31				
时事汉词英译手册	978-7-118-06895-5	徐蔚编著	H31				
分之道	978-7-5603-2950-5	李晓光	H31				
大学英语语法	978-7-5628-2686-6	主编徐广联	H31				
大学英语语法讲座与测试	978-7-5628-2792-4	徐广联主编	H31				
双语社团语码转换研究	978-7-313-05473-9	陈立平著	H31				
基础口译阅读教程	978-7-313-06142-3	"口译教学与测试研究中心编;主编王琛,林_"	H31				
翻译:中西诗性话语交融的家园	978-7-5617-7410-6	陈凌著	H31				
商务口译入门	978-7-313-05943-7	"柴明颍,陈科芳总主编;印晓红,杨瑛编著"	H31				
英汉词语互译研究	978-7-307-07031-8	"何家宁,刘绍龙,陈伟著"	H31				
联络口译	978-7-307-07643-3	"王斌华,伍志伟编著"	H31				
新编英汉互译教程	978-7-5628-2479-4	"主编谭卫国,蔡龙权"	H31				
望文生译	978-7-118-06677-7	"主编成昭伟,张思永;编著成昭伟[等]"	H31				
高级英语写作	978-7-03-021756-1	甄艳华主编	H31				
国际商务函电	978-7-5640-2790-2	主编李文彪	H31				
大学英语实用写作教程	978-7-5624-5065-8	主编张梅	H31				
计算机专业英语实用文案(档)写作	978-7-302-17632-9	"康雁,周利平,陈冠良编著"	H31				
商务英语写作	978-7-5628-2591-3	主编王恒恩	H31				
英语论文写作	978-7-5600-9526-4	"石坚,帅培天主编"	H31				
新编英语写作教程	978-7-5617-7288-1	"(瑞典)伦纳特·比约克,(法)费德里克·雷"	H31				
美国心理协会写作手册	978-7-5624-4130-4	美国心理协会编	H31				
现代英语用法词典	978-7-81119-333-6	张道真主编	H31				
大学英语人文阅读	978-7-04-026853-9	主编赵春霞	H31				
公开!希拉里的英文世界	978-7-5385-4147-2	世纪友好语言研究小组编著	H31				
法律英语阅读教程	978-7-5607-3672-3	张法连编著	H31				
奥巴马演讲精华	978-7-5068-1870-4	"王少凯,孔谧等编译"	H31				
伊丽莎白女王	978-7-80243-323-6	原著(美)伊娃·马奇·泰潘恩	H31				
查理二世	978-7-80243-183-6	原著(美)雅各布·艾博特	H31				
海盗	978-7-80243-178-2	原著(美)弗兰克·斯塔顿	H31				
娜娜	978-7-80243-322-9	原著(法)埃米尔·左拉	H31				
不可不知的欧洲历史故事	978-7-80243-328-1	(英)亨里埃塔·伊莉莎白·马歇尔原著;改编	H31				
嗜血的尼禄	978-7-80243-318-2	(美)雅各布·艾博特原著	H31				
森林的秘密	978-7-80243-320-5	原著(美)威廉·朗恩	H31				
伊索寓言	978-7-80243-321-2	原著(古希腊)伊索	H31				
24个心灵安慰	978-7-307-06566-6	明廷雄译注	H31				
英语背诵范文精华	978-7-5628-2532-6	主编谭卫国	H31				
英译元曲200首	978-7-81110-588-9	周方珠选译	H31				
鼓励是珍贵的礼物	978-7-80206-951-0	主编执云;高芬译	H31				
不可不背的美丽英文	978-7-80243-319-9	"主编毛荣贵,沈沁,王若平"	H31				
英语课堂用语手册	978-7-03-024986-9	周淳编著	H31				
最新疯狂口语900句	978-7-89462-416-1	"主编Hannah,影子"	H31				
老外超爱说的工作英语300句	978-7-5006-9145-7	世纪友好语言研究小组编;金利主编	H31				
英语口语交际能力培训手册	978-7-5624-5320-8	主编杨敏	H31				
商务英语口语	978-7-5096-0826-5	"张晓燕,张萍主编"	H31				
旅游英语口语	978-7-5096-0828-9	"张晓燕,张萍主编"	H31				
使用频率最高的商务英语场景会话	978-7-5640-1585-5	浩瀚主编	H31				
会展实务英语·口语	978-7-313-05959-8	"蓝星,冯修文著"	H31				
商务英语口语	978-7-5609-6064-7	主编王战平	H31				
走向成功英语视听说教程	978-7-5628-2751-1	编著戚元方[等]	H31				
商务英语交际口语	978-7-118-06731-6	主编时秀梅	H31				
英语招聘面试指南	978-7-115-21389-1	主编简新亚;杨清女[等]编著	H31				
最新英语口语学习词典	978-7-5605-2464-1	(澳)段立新编著	H31				
中国基础英语教师教育研究	978-7-5617-7104-4	主编邹为诚	H31				
秦秀白英语教育自选集	978-7-5600-7179-4	秦秀白著	H31				
科技日语	978-7-5634-2757-4	主编严红君	H36				
高级日语	978-7-313-06350-2	主编郑汀	H36				
一天一场景商务日语	978-7-5617-7072-6	"仲山义晃,尾崎一郎合著"	H36				
日语流行话题高频词	978-7-5628-2612-5	前川智编著;梁晓兰译	H36				
日语句型一点通	978-7-5062-9764-6	"宫伟,韩云冬,黄一峰编著"	H36				
实用日语文法	978-7-5617-6703-0	计钢著	H36				
新日本语能力考试N5语法解说篇	978-7-5628-2525-8	"刘文照,海老原博编著"	H36				
新日本语能力考试N3语法练习篇	978-7-5628-2737-5	"刘文照,海老原博编著"	H36				
日语常用表达方式辨析	978-7-5327-4765-8	王宏编著	H36				
日语作文写作指导	978-7-5611-5502-8	木下崇著	H36				
新编日文书信用例辞典	978-7-5327-4764-1	周启明编著	H36				
从日本人的生活秘密学日语	978-7-81127-872-9	(日)高岛匡弘著	H36				
日语阅读精选50篇	978-7-313-06216-1	"吕寅秋,张云凤,杨吉萍编著"	H36				
日语流行话题阅读	978-7-5617-6933-1	"主编陈小芬,徐_"	H36				
日语趣文短篇精华	978-7-5617-6934-8	主编任川海	H36				
日语背诵文选	978-7-5617-6691-0	"许慈惠,李波,徐志强选编"	H36				
初级日语会话教程	978-7-5640-1649-4	"编著金春子,汤丽"	H36				
320句用出好日语	978-7-5617-7070-2	田中阳子著	H36				
文艺心理发生论	978-7-5601-5183-0	朱寿兴著	I00				
文学翻译批评	978-7-5601-5631-6	"赵秀明,赵张进著"	I04				
中外影视动漫名家讲坛	978-7-5046-5422-9	扶持动漫产业发展部际联席会议办公室组织编	I05				
文学批评教程	978-7-307-07525-2	"主编蒋述卓,洪治纲"	I06				
文学批评学教程	978-7-5617-7609-4	主编刘锋杰	I06				
外国诗歌鉴赏辞典	978-7-5326-2962-6	主编吴笛	I10				
外国诗歌鉴赏辞典	978-7-5326-2992-3	主编彭少健	I10				
外国诗歌鉴赏辞典	978-7-5326-2974-9	主编杨恒达	I10				
外国戏剧鉴赏辞典	978-7-5326-2963-3	主编郁龙余	I10				
外国戏剧鉴赏辞典	978-7-5326-2979-4	主编刘亚丁	I10				
外国戏剧鉴赏辞典	978-7-5326-2993-0	主编宫宝荣	I10				
小说的语言和叙事	978-7-208-08978-5	(南非)安德烈·布林克著;汪洪章等译	I10				
品外国散文	978-7-5439-4302-5	"主编傅德岷,卢晋"	I10				
一次读完15部文学经典	978-7-5617-7348-2	王学典编著	I10				
外国神话史诗民间故事鉴赏辞典	978-7-5326-2995-4	"主编孟昭毅,黎跃进"	I10				
中外古典文学名作鉴赏辞典	978-7-80716-879-9	"李子光,符玲美主编"	I10				
外国文学简史	978-7-5617-6706-1	主编郑克鲁	I10				
外国文学作品选	978-7-5617-7116-7	主编陈建华	I11				
古罗马神话传说	978-7-5097-1478-2	王焕生著	I17				
马克思主义文艺理论中国化研究	978-7-5058-7789-4	朱立元等著	I20				
古代文学理论研究	978-7-5617-7190-7	"徐中玉,郭豫适主编"	I20				
清思录	978-7-81119-210-0	袁行霈著	I20				
戴表元及其文学研究	978-7-81110-381-6	刘飞著	I20				
唐宋文学文献研究丛稿	978-7-81110-382-3	汤华泉著	I20				
中华古代文论的现代阐述	978-7-300-11758-4	童庆炳著	I20				
文心雕龙新释	978-7-81113-642-5	张长青著	I20				
宋代韩愈文学接受研究	978-7-81110-745-6	查金萍著	I20				
文学与文选四种	978-7-5325-5461-4	吕思勉著	I20				
穿越比较文学的世纪空间	978-7-81110-389-2	"王福和,吴家荣,刘献彪主编"	I20				
文学本体论新论	978-7-5426-3248-7	张瑜著	I20				
俞平伯自选集	978-7-81119-426-5	俞平伯著	I20				
中国散文小说简论	978-7-81110-361-8	唐先田著	I20				
诗词曲格律纲要	978-7-01-008812-9	涂宗涛著	I20				
唐诗鼓吹评注	978-7-81028-661-9	"(清)钱牧斋,(清)何义门评注;韩成武等点"	I20				
执着与逍遥	978-7-81110-586-5	鲁克兵著	I20				
诗词十六讲	978-7-5057-2614-7	"朱自清,吴梅,闻一多著"	I20				
中国历代诗词名篇鉴赏	978-7-5090-0355-8	梁权伟编著	I20				
从文学到经学	978-7-5617-6891-4	"刘毓庆,郭万金著;李蹊批点"	I20				
问诗录	978-7-201-06349-2	罗振亚著	I20				
品唐诗	978-7-5439-4300-1	"主编傅德岷,卢晋"	I20				
沈德潜诗学思想研究	978-7-01-008804-4	王宏林著	I20				
楚天空阔歌声长	978-7-5484-0009-7	程墨著	I20				
香草美人志	978-7-5309-5771-4	深圳一石著	I20				
魏晋南北朝乐府歌辞研究	978-7-5325-5345-7	吴大顺著	I20				
浣花纸里水墨词	978-7-5309-5971-8	倾蓝紫著	I20				
唐诗的唯美主义	978-7-80588-784-5	"苏缨,毛晓雯著"	I20				
古诗十九首与建安诗歌研究	978-7-01-008498-5	木斋著	I20				
张先与北宋中前期词坛关系探论	978-7-81110-368-7	孙维城著	I20				
婉约词典评	978-7-5382-8299-3	周笃文编著	I20				
宋词是黄昏的窗棂	978-7-224-09233-2	侯皓元著	I20				
纳兰典评宋词英华	978-7-5613-4543-6	苏缨著	I20				
品宋词	978-7-5439-4303-2	"主编傅德岷,卢晋"	I20				
品元曲	978-7-5439-4301-8	"主编傅德岷,卢晋"	I20				
学习对诗说话	978-7-301-17243-8	洪子诚著	I20				
猜测上帝的诗学	978-7-301-17245-2	张清华著	I20				
在耳朵的悬崖上	978-7-301-16960-5	蔡天新著	I20				
雪的款待	978-7-301-16961-2	王家新著	I20				
巴枯宁的手	978-7-301-16958-2	姜涛著	I20				
抽思织锦	978-7-301-16959-9	江弱水著	I20				
闻一多新诗艺术	978-7-80745-657-5	许霆著	I20				
20世纪中国史剧研究	978-7-5004-8404-2	邓齐平著	I20				
中国戏曲文献文学史论	978-7-5004-8502-5	李占鹏著	I20				
中国现代文学戏剧版本闻见录	978-7-80706-873-0	张泽贤著	I20				
西厢记研究与欣赏	978-7-208-08859-7	蒋星煜著	I20				
戏曲词语汇释	978-7-5452-0034-8	陆澹安著	I20				
中国小说美学史	978-7-81097-004-4	韩进廉著	I20				
唐传奇	978-7-5461-0844-5	王连文编著	I20				
《三国志演义》版本研究	978-7-5325-5628-1	(日)中川谕著;林妙燕译	I20				
文学与社会	978-7-100-06424-8	文史哲编辑部编	I20				
西游记潜规则	978-7-227-04148-1	天涯·JUWEN	I20				
解码金瓶梅	978-7-5326-2936-7	王意如著	I20				
中国现当代文学名家名作细读问题与方法	978-7-81129-183-4	"孙玉君,王凤秋,闫长红著"	I20				
论王安忆	978-7-5617-7296-6	吴芸茜著	I20				
《小团圆》对照记	978-7-80741-698-2	王一心著	I20				
品中国散文	978-7-5439-4304-9	"主编傅德岷,卢晋"	I20				
桐城派与明清学术文化	978-7-81110-383-0	"徐成志,江小角主编;安徽大学桐城派研究所"	I20				
江南城市	978-7-5004-8052-5	景秀明著	I20				
民间文学概论	978-7-5617-6717-7	"主编田兆元,敖其"	I20				
谜中乐	978-7-5624-4672-9	王泽友编著	I20				
中国文学讲义	978-7-5438-6473-3	梁启超著	I20				
中国近代文学发展史	978-7-03-024826-8	"管林,钟贤培主编"	I20				
中国文学古今演变研究论集三编	978-7-5325-5587-1	梅新林[等]主编	I20				
马其昶著作三种	978-7-81110-585-8	"孙维城,刘敬林,谢模楷点校"	I21				
大明宫唐诗辑注	978-7-01-008698-9	"何建超,吴广怀著"	I22				
唐诗解	978-7-81028-720-3	(明)唐汝询选释;王振汉点校	I22				
豪放词	978-7-5470-0213-1	"温庭筠,苏轼等著;王建新整理"	I22				
百科图说宋词三百首	978-7-5000-8246-0	主编刘扬忠	I22				
三国志通俗演义	978-7-80741-295-3	罗贯中著;沈伯俊校注	I24				
新中国	978-7-5325-5165-1	陆士谔著	I24				
风声鹤唳	978-7-80080-991-0	林语堂著	I24				
大帝手中的风云	978-7-80742-179-5	舒大丰编著	I24				
孔子	978-7-101-06748-4	胡玫著	I24				
扬州八怪演义	978-7-206-02653-9	窦应泰著	I24				
蒋介石的王牌特工	978-7-5060-3323-7	吴越著	I24				
纪检档案	978-7-80765-155-0	吴俣阳著	I24				
犯罪心理师	978-7-5039-4044-6	艾西著	I24				
简历不简	978-7-200-07808-4	叶无开著	I24				
爱劫难逃	978-7-5044-6275-6	喜了著	I24				
苏珊的微笑	978-7-5399-3532-4	叶兆言著	I24				
同林鸟	978-7-80256-068-0	艾米作品	I24				
桃子	978-7-5613-4494-1	范迁著	I24				
人生若只初相见	978-7-5075-2924-1	梅子黄时雨著	I24				
纪检干部	978-7-80204-486-9	于勇著	I24				
女检察长	978-7-80204-492-0	刘学文著	I24				
夏陌86°	978-7-80747-765-5	风来的西林著	I24				
在法国的外交生涯	978-7-300-11431-6	"吴建民,施燕华著"	I25				
外交见证中国	978-7-300-11434-7	韩敏主编	I25				
我向总理说实话	978-7-224-08819-9	李昌平著	I25				
用梦想填平沟壑	978-7-200-07180-1	姚莉著	I25				
中国足球黑幕	978-7-03-026979-9	惊涛拍岸著	I25				
笔墨江山	978-7-102-03094-4	黄名芊著	I25				
驶向海洋	978-7-5010-2124-6	杜玉冰编著	I25				
母亲	978-7-01-007084-1	王义著	I25				
共和国思想者	978-7-5034-2289-8	程冠军著	I25				
全宋文	7-5326-1868-4	"曾__,_琳主_;四川大_古籍整理研究所"	I26				
国学拾遗	978-7-5613-4334-0	林语堂著	I26				
经典散文读本	978-7-5317-2178-9	采桑子主编	I26				
灵魂的事	978-7-5309-6013-4	史铁生著	I26				
闲说中国人	978-7-5104-0246-3	余秋雨等著	I26				
病榻杂记	978-7-80228-217-9	季羡林著	I26				
只爱一点点	7-5057-1583-6	李敖著	I26				
若有所思话德国	978-7-229-00683-9	张刚著	I26				
教育	978-7-80244-552-9	柏杨著	I26				
从书房到厨房	978-7-5617-6944-7	杨牧谷著	I26				
足球是圆的?	978-7-5060-3915-4	袁_著	I26				
我将心丢在喜玛拉雅	978-7-5624-4834-1	孙佳著·摄	I26				
原野中的城堡	978-7-216-06019-6	蓝寿荣著	I26				
鸟儿问答	978-7-201-05630-2	王朔著	I26				
只缘身在此山中	978-7-5039-3988-4	简_著	I26				
红	978-7-80142-972-8	季羡林	I26				
谈人生	978-7-80142-966-7	季羡林著	I26				
案头山水	978-7-81093-981-2	陈友冰著	I26				
十年磨剑录	978-7-5609-5394-6	刘真伦著	I26				
吴冠中自选散文集	978-7-5060-3944-4	吴冠中著	I26				
艺术家的街道	978-7-108-03072-6	(韩)田苑京著;李华译	I31				
全球化语境中的日本女性文学	978-7-5607-3971-7	肖霞等著	I31				
日本散文经典	978-7-5486-0004-6	谢大光主编	I31				
听钱钟书讲文学	978-7-5613-4340-1	阿涂著	I49				
欧美情色文学史	978-7-80741-475-9	刘文荣著	I50				
俄罗斯生态文学	978-7-80730-907-9	周湘鲁著	I51				
现代主义语境下的契诃夫研究	978-7-5004-8179-9	马卫红著	I51				
戴灰眼镜的人	978-7-309-06712-5	(俄)屠格涅夫著;刘季星译	I51				
生命集	978-7-309-06710-1	(俄)果戈理著;刘季星译	I51				
弥尔顿的撒旦与英国文学传统	978-7-301-17082-3	沈弘著	I56				
莎士比亚戏剧中的人物	978-7-5617-6627-9	威廉·哈兹里特著;顾钧译	I56				
基姆	7-5387-2163-0	(英国)拉迪亚德·吉卜林	I56				
德伯家的苔丝	978-7-80753-552-2	(英)托马斯·哈代著;酆哲生译	I56				
荆棘之城	978-7-80742-859-6	(英)萨拉·沃特斯著;林玉葳译	I56				
独来独往的猫	978-7-5068-1723-3	吉卜林著;陈洁译	I56				
全能者的天机	978-7-5613-1971-0	(英)约翰·史蒂芬著	I56				
英国散文精选	978-7-5327-5019-1	高健选译	I56				
吃透法兰西	978-7-5327-4979-9	(英)彼得·梅尔著;乔艾译	I56				
"告诉我,你怎样去生活"	978-7-5327-4941-6	(英)阿加莎·克里斯蒂著;姚_译	I56				
萨特的叙事之旅	978-7-5004-8487-5	阎伟著	I56				
名士风流	978-7-5327-4963-8	(法)西蒙娜·德·波伏瓦著;许钧译	I56				
名士风流	978-7-5327-5057-3	(法)西蒙娜·德·波伏瓦著;许钧译	I56				
布德尔论艺术与生活	978-7-208-08596-1	(法)埃米尔·安托万·布德尔;啸声译	I56				
相遇	978-7-5327-4957-7	米兰·昆德拉;尉迟秀译	I56				
二十世纪大洋洲文学研究	978-7-81110-532-2	陈正发主编	I60				
欧行三记	7-80195-617-6	(加拿大)宏志信	I71				
20世纪美国女性小说研究	978-7-301-17107-3	金莉等著	I71				
美国文学中上帝形象的演变	978-7-5004-8113-3	洪增流著	I71				
以你之名召唤我	978-7-5309-5824-7	(美)黛安·约瑟普著	I71				
最后一百天	978-7-229-00344-9	(美)约翰·托兰著;刘永刚译	I71				
末日之书	978-7-80203-788-5	(美)康妮·威利斯著;杨蓓译	I71				
失落的秘符	978-7-02-007812-7	"(美)丹·布朗著;朱振武,文敏,于是译"	I71				
猎熊记	978-7-80588-737-1	(美)西奥多·罗斯福著;董继平译	I71				
秋色	978-7-80588-736-4	(美)享利·大卫·梭罗著;董继平译	I71				
瓦尔登湖	978-7-229-01926-6	(美)亨利·大卫·梭罗著;王金玲译	I71				
点滴在心的处世艺术	978-7-5039-4286-0	(美)刘墉著	I71				
牛津画记	978-7-208-08562-6	"(美)蒋彝著;罗漪文,罗丽如译"	I71				
湖区画记	978-7-208-08563-3	蒋彝著;朱凤莲译	I71				
艺术论	7-300-06814-6	"列夫·托尔斯泰著;张昕畅,刘岩,赵雪予译"	J07				
艺术概论	978-7-5394-1891-9	湖北美术学院主编	J09				
艺术导论	978-7-81138-686-8	杨长荣主编	J09				
1985年以来的当代艺术理论	978-7-5322-6524-4	"(美)佐亚·科库尔,梁硕恩编;王春辰,何积"	J09				
心哉美矣	978-7-307-06603-8	王斐著	J00				
艺术批评的视野	978-7-80225-868-6	王秀雄著	J05				
图像缤纷	7-300-06516-3	丁宁著	J05				
美术鉴赏及其教学	978-7-102-03805-6	钱初熹编著	J05				
工作坊	978-7-80225-929-4	"左靖,董冰峰主编"	J05				
外国美术鉴赏	978-7-5322-6288-5	"汪涤,王译敏著"	J05				
多视角美术赏析	978-7-102-04317-3	李润生编著	J05				
中国现代美术理论批评文丛	978-7-102-04600-6	"邵大箴,李松主编;贾方舟著"	J05				
中国现代美术理论批评文丛	978-7-102-04483-5	"邵大箴,李松涛主编"	J05				
中国现代美术理论批评文丛	978-7-102-04409-5	"邵大箴,李松涛主编"	J05				
当代美术批评视野	978-7-102-04546-7	贾方舟主编	J05				
艺术设计美学	978-7-307-02851-7	主编陈望衡	J06				
设计批评	978-7-5641-1500-5	黄厚石著	J06				
设计思维谈	978-7-5624-5123-5	高中羽著	J06				
艺术设计思维训练教程	978-7-5624-5226-3	周至禹著	J06				
设计芬兰	978-7-208-08024-9	涂翠珊著	J06				
日本最新设计模板	978-7-102-04643-3	(日)夏井芸华编著	J06				
最新日本设计模板	978-7-102-04640-2	(日)夏井芸华编著	J06				
日本最新设计模板	978-7-102-04642-6	(日)夏井芸华编著	J06				
视觉表现	978-7-102-04645-7	张歌明著	J06				
色彩心理探析	978-7-102-03686-1	小林重顺著;日本色彩设计研究所编	J06				
数码设计艺术	978-7-102-04318-0	"吕杰锋,陈汗青著"	J06				
数字艺术设计基础	978-7-115-21275-7	"(美)埃斯汀·伯勒,迈克尔·曼迪博格著;张"	J06				
艺用人体解剖学	978-7-5322-6345-5	"厉晓东,苗青著"	J06				
艺用人体造型图集	978-7-5322-6595-4	"(美)道格拉斯·约翰逊,莫琳·约翰逊著;朱"	J06				
原乡·设计	978-7-5624-4540-1	杭间著	J06				
青山见我	978-7-5624-4567-8	许平著	J06				
国际设计年鉴	978-7-5611-4065-9	张先慧主编	J11				
希利尔讲艺术史	978-7-5456-0084-1	"(美)希利尔著;李爽,朱玲译"	J11				
世界艺术地图	978-7-208-06600-7	(英)约翰·奥尼恩斯编;冯华年[等]译	J11				
古代希腊罗马美术	978-7-300-11933-5	邵大箴著	J11				
原始美术	978-7-300-11932-8	牛克诚著	J11				
西方20世纪美术	978-7-300-11945-8	易英著	J11				
世界著名图像的秘密	978-7-5306-5179-7	张延风著	J11				
中国美术	978-7-300-11943-4	金维诺著	J12				
中国美术·先秦至两汉	978-7-300-11944-1	李松著	J12				
中国古代设计艺术思想论纲	978-7-5624-5232-4	孙长初著	J12				
中国美术	978-7-300-11942-7	"薛永年,赵力,沿刚著"	J12				
中国美术·明清至近代	978-7-300-11941-0	单国强主编	J12				
中国当代美术30年	978-7-80186-950-0	斯舜威著	J12				
万山红遍	978-7-102-04749-2	邵大箴主编	J12				
清华大学美术学院教师作品集	978-7-102-04301-2	"主编代大权,王玉山"	J12				
清华大学美术学院教师作品集	978-7-102-04302-9	"主编代大权,王玉山"	J12				
清华大学美术学院教师作品集	978-7-102-04300-5	"主编代大权,王玉山"	J12				
第十一届全国美术作品展览	978-7-102-04729-4	"中华人民共和国文化部,中国文学艺术界联合"	J12				
中_美_年_	978-7-80745-206-5	王戾昌等_	J12				
朝鲜半岛美术	978-7-300-11930-4	吴焯著	J13				
日本美术	978-7-300-11940-3	张夫也著	J13				
东南亚美术	978-7-300-11931-1	吴虚领著	J13				
印度美术	978-7-300-11935-9	王镛著	J13				
波斯和伊斯兰美术	978-7-300-11937-3	"罗世平,齐东方著"	J13				
古代埃及和美索不达米亚美术	978-7-300-11939-7	罗世平主编;李建群著	J14				
欧洲美术从罗可可到浪漫主义	978-7-300-11947-2	"袁宝林主编;袁宝林,远小近,廖_著"	J15				
西方美术史	978-7-5624-4861-7	李倍雷著	J15				
欧洲中世纪美术	978-7-300-11934-2	王宏建主编;李建群著	J15				
欧洲17世纪美术	978-7-300-11946-5	李春著	J15				
欧洲19世纪美术	978-7-300-11954-0	张敢著	J15				
欧洲19世纪美术	978-7-300-11953-3	"佟景韩,余丁,鹿镭著"	J15				
俄罗斯和东欧美术	978-7-300-11948-9	奚静之著	J15				
菲钦1881/1955油画·素描·版画·雕塑	978-7-5330-2022-4	全山石编著	J15				
北欧文艺复兴美术	978-7-300-11938-0	李维琨著	J15				
意大利文艺复兴美术	978-7-300-11936-6	徐庆平著	J15				
宗教艺术	978-7-208-08464-3	主编张鹰	J19				
达·芬奇谈艺录	978-7-81113-729-3	(意)达·芬奇著;刘祥英译	J20				
心理画	978-7-5438-6145-9	"李洪伟,吴迪著"	J20				
影响世界美术史的100幅名画	978-7-5468-0092-9	读者欣赏杂志社编	J20				
一次读完15位美术大师经典讲义	978-7-5617-7349-9	林卫编著	J20				
一幅画的诞生	978-7-80225-862-4	朱朱著	J20				
现代名家翰墨鉴藏丛书	978-7-80735-616-5	董也山著	J20				
现代名家翰墨鉴藏丛书	978-7-80735-649-3	邵峰著	J20				
现代名家翰墨鉴藏丛书	978-7-80735-619-6	诸文进著	J20				
现代名家翰墨鉴藏丛书	978-7-80735-618-9	邱孟瑜著	J20				
现代名家翰墨鉴藏丛书	978-7-80735-617-2	叶子著	J20				
现代名家翰墨鉴藏丛书	978-7-80735-621-9	叶子著	J20				
现代名家翰墨鉴藏丛书	978-7-80735-620-2	萧平著	J20				
现代名家翰墨鉴藏丛书	978-7-80735-648-6	尚辉著	J20				
重屏	978-7-208-08755-2	(美)巫鸿著;文丹译	J20				
刘海粟书画鉴赏	7-80735-021-0	岑其著	J20				
绘画构图学	978-7-102-04011-0	常锐伦著	J20				
人体绘画精解	978-7-5322-6556-5	(英)西蒙·詹宁斯著;李亮之译	J20				
